Region,Month,Year,Humidity,Temperature,Population Density,Dengue_Cases
4,5,2008,14.8321939093,27.06,398.1380525898,8.885904
4,6,2008,8.6357986327,27.76,398.1680725358,10.293319
4,7,2008,1.8178993163,27.48,398.2028472621,8.163005
4,8,2008,19.0522063393,26.61,398.2304249817,12.353262
4,9,2008,2.3026724674,26.34,398.272158975,19.652626
4,10,2008,16.218147918,24.85,398.3385529817,3.339411
4,11,2008,24.9813548788,21.84,398.3498347756,2.040751
4,12,2008,25,18.78,398.3567292047,3.428974
4,1,2009,24.7886886265,18.61,398.3683135763,6.817955
4,2,2009,23.1852082039,22.12,398.3913472081,6.723524
4,3,2009,24.9440646364,24.26,398.4140618162,7.711907
4,4,2009,17.2747047856,27.11,398.440115556,3.519148
4,5,2009,4.2666252331,30.78,398.4520045696,8.933221
4,6,2009,7.9583592293,28.04,398.4821843702,13.088208
4,7,2009,6.1000621504,27.4,398.5264012891,2.215993
4,8,2009,4.1174642635,26.59,398.533887752,2.052312
4,9,2009,8.8036047234,25.92,398.5408212385,3.04699
4,10,2009,14.7576134245,23.84,398.5511151236,4.847484
4,11,2009,24.4468614046,21.1,398.5674917587,5.5148
4,12,2009,24.9316345556,19.24,398.5861228398,5.835867
4,1,2010,24.3412057178,18.3,398.6058386067,2.434358
4,2,2010,22.9552517091,20.5,398.6140627891,5.915553
4,3,2010,24.390926041,23.65,398.6340477655,8.70918
4,4,2010,21.656308266,26.55,398.6634706709,1.375134
4,5,2010,5.422622747,29.8,398.6681163939,1.573351
4,6,2010,2.0913610938,28.03,398.6734317689,2.050312
4,7,2010,2.9117464264,27.26,398.6803584986,2.620187
4,8,2010,8.312616532,26.95,398.6892104817,4.874911
4,9,2010,2.4456183965,26.04,398.7056797756,5.45098
4,10,2010,22.7625854568,23.94,398.7240952486,1.548574
4,11,2010,24.8570540709,21.28,398.7293269175,3.846658
4,12,2010,25,18.39,398.7423223837,5.14746
4,1,2011,23.5767557489,18.23,398.7597124513,0.95667
4,2,2011,24.5835922933,19.35,398.7629444446,1.596481
4,3,2011,22.4642635177,23.21,398.7683379614,3.308738
4,4,2011,17.7097576134,26.81,398.7795161304,2.157078
4,5,2011,5.4101926663,28.33,398.786803556,6.62357
4,6,2011,10.7613424487,28.95,398.8091804817,6.763719
4,7,2011,28.0267246737,26.89,398.8320308837,1.730537
4,8,2011,1.749533872,26.71,398.8378772925,3.448887
4,9,2011,5.6587942822,25.89,398.8495289378,3.863241
4,10,2011,4.7141081417,23.89,398.8625804277,1.578201
4,11,2011,24.2293349907,21.23,398.8679121878,5.008808
4,12,2011,24.9937849596,19.08,398.8848338364,4.308062
4,1,2012,24.9564947172,18.06,398.8993881,4.62099
4,2,2012,22.8185208204,19.97,398.9149995527,14.246555
4,3,2012,22.110006215,24.12,398.963129806,17.548975
4,4,2012,21.7557489124,26.87,399.0224168837,2.24157
4,5,2012,6.2678682411,27.43,399.0299897554,5.777736
4,6,2012,20.7986326911,28.6,399.0495091337,5.430113
4,7,2012,12.0478558111,27.5,399.0678541101,1.857986
4,8,2012,4.6892479801,26.91,399.0741310898,7.389989
4,9,2012,4.6208825357,25.72,399.0990972689,15.073659
4,10,2012,15.4474829086,24.5,399.1500217925,12.028959
4,11,2012,24.7016780609,21.04,399.1906601675,27.588092
4,12,2012,21.6935985084,18.97,399.283863181,34.450652
4,1,2013,24.5898073337,17.53,399.4002505189,5.028649
4,2,2013,23.90615289,19.08,399.4172391979,14.41389
4,3,2013,24.4592914854,23.5,399.4659347723,12.645314
4,4,2013,14.7265382225,27.24,399.5086554277,3.207017
4,5,2013,6.0192666252,27.82,399.5194899446,6.496567
4,6,2013,15.3356121815,27.76,399.541437806,36.397282
4,7,2013,38.4431323804,27.01,399.6644015966,24.960494
4,8,2013,7.0012430081,26.64,399.7487275898,31.669291
4,9,2013,10.5438160348,26.29,399.8557184378,31.280204
4,10,2013,11.9546302051,24.61,399.9613948027,12.668895
4,11,2013,24.6519577377,21.29,400.0041951236,25.591286
4,12,2013,24.9316345556,18.63,400.0906521709,21.56483
4,1,2014,23.781852082,18.65,400.1635063263,1.832729
4,2,2014,24.6892479801,20.7,400.1696979783,5.596782
4,3,2014,24.6581727781,22.87,400.1886060256,36.202192
4,4,2014,19.1951522685,25.3,400.3109107283,15.16641
4,5,2014,13.9496581728,27.69,400.3621486,29.074269
4,6,2014,9.6799254195,28.97,400.4603724817,22.938108
4,7,2014,18.7538844002,27.65,400.5378660898,14.110851
4,8,2014,7.2311995028,27.08,400.5855378837,37.048959
4,9,2014,7.2063393412,25.95,400.7107032858,20.345609
4,10,2014,14.4033561218,24.41,400.7794384513,1.357147
4,11,2014,24.6208825357,20.59,400.7840234074,4.558623
4,12,2014,24.9751398384,18.8,400.7994241608,19.951224
4,1,2015,22.6444996892,18.15,400.8668269446,8.76138
4,2,2015,24.6270975761,19.4,400.8964262013,20.998772
4,3,2015,21.5879428216,22.71,400.9673679986,16.489658
4,4,2015,15.2175264139,26.13,401.0230763027,16.238518
4,5,2015,6.2678682411,27.7,401.0779361608,48.116241
4,6,2015,11.6190180236,27.93,401.240491029,15.713406
4,7,2015,35.2983219391,27.23,401.2935768601,1.369857
4,8,2015,7.4052206339,26.66,401.2982047554,3.184918
4,9,2015,4.8073337477,26.1,401.3089646135,10.422332
4,10,2015,13.5767557489,24.7,401.3441751946,6.655224
4,11,2015,24.8321939093,21.16,401.3666590594,13.436018
4,12,2015,24.5587321318,19.41,401.4120510121,13.082138
4,1,2016,23.8937228092,18.66,401.4562474243,14.45242
4,2,2016,24.8446239901,20.13,401.5050731675,32.186415
4,3,2016,24.6519577377,23.23,401.613811056,11.97438
4,4,2016,22.1783716594,26.44,401.6542650425,0.65182
4,5,2016,11.5071472965,28.88,401.6564671371,1.410403
4,6,2016,24.906774394,28.22,401.6612320121,7.080112
4,7,2016,19.7358607831,27.28,401.6851513094,3.854728
4,8,2016,7.7097576134,26.9,401.6981740391,6.956491
4,9,2016,10.500310752,26.32,401.7216756979,7.585835
4,10,2016,19.5804847732,24.92,401.7473035189,6.310291
4,11,2016,24.8819142324,21.77,401.7686220696,12.614962
4,12,2016,24.7576134245,18.73,401.8112401844,8.237654
5,1,2008,24.6519577377,13.66,368.4100795756,3.404328
5,2,2008,24.6022374145,13.93,368.4192804621,1.498921
5,3,2008,24.9627097576,17.94,368.4233315999,2.845408
5,4,2008,15.9757613424,20.57,368.4310218918,3.074057
5,5,2008,18.9589807334,21.95,368.439330154,4.268113
5,6,2008,4.1796146675,23.35,368.4508655945,6.554602
5,7,2008,10.5562461156,23.91,368.4685807351,2.311894
5,8,2008,6.3424487259,22.77,368.4748290972,3.048652
5,9,2008,8.0329397141,22.03,368.4830686972,6.122709
5,10,2008,20.3200745805,19.67,368.4996165594,2.972436
5,11,2008,24.9192044748,16.22,368.5076501702,1.422704
5,12,2008,23.6699813549,12.74,368.5114953161,2.261084
5,1,2009,24.7451833437,13.62,368.517606354,1.950058
5,2,2009,18.1199502797,16.34,368.522876781,2.950087
5,3,2009,22.8185208204,18.48,368.5308499891,4.975147
5,4,2009,24.2044748291,21.74,368.5442963324,1.300038
5,5,2009,15.2423865755,25.74,368.5478099486,2.175064
5,6,2009,6.8210068365,23.67,368.5536884999,4.050119
5,7,2009,2.1472964574,23.64,368.5646347675,1.200035
5,8,2009,6.9577377253,23.36,368.5678781053,1.050031
5,9,2009,13.4275947794,22.06,368.570716027,1.800053
5,10,2009,17.3803604723,19.12,368.5755810351,1.02503
5,11,2009,23.8502175264,15.6,368.5783513864,4.150122
5,12,2009,24.390926041,14.3,368.5895679324,4.650137
5,1,2010,24.6208825357,13.65,368.6021358702,0.983964
5,2,2010,24.4344313238,14.95,368.6047952324,1.475946
5,3,2010,20.0590428838,17.93,368.6087842756,3.099486
5,4,2010,23.3530142946,21.25,368.6171612648,1.598941
